Gene stable ID	Gene start (bp)	Gene end (bp)	Chromosome/scaffold name	Gene name	Gene type
ENSG00000159214	44457031	44462200	1	CCDC24	protein_coding
ENSG00000243452	148555979	148596267	1	NBPF15	protein_coding
ENSG00000164008	43232940	43263968	1	C1orf50	protein_coding
ENSG00000143847	202995626	203047868	1	PPFIA4	protein_coding
ENSG00000131236	40505905	40538321	1	CAP1	protein_coding
ENSG00000132763	45965725	45976739	1	MMACHC	protein_coding
ENSG00000117450	45976708	45988719	1	PRDX1	protein_coding
ENSG00000177868	43272723	43282954	1	CCDC23	protein_coding
ENSG00000258664	179833916	179834311	1	IFRG15	protein_coding
ENSG00000196517	44457172	44497139	1	SLC6A9	protein_coding
ENSG00000164010	43282795	43310660	1	ERMAP	protein_coding
ENSG00000203827	148739443	148758311	1	NBPF16	protein_coding
ENSG00000122180	203052260	203055164	1	MYOG	protein_coding
ENSG00000117448	46016215	46035721	1	AKR1A1	protein_coding
ENSG00000163485	203059782	203136533	1	ADORA1	protein_coding
ENSG00000164011	43312280	43318148	1	ZNF691	protein_coding
ENSG00000133055	203136939	203144941	1	MYBPH	protein_coding
ENSG00000198161	149553003	149553787	1	PPIAL4C	protein_coding
ENSG00000203815	149675978	149676609	1	FAM231D	protein_coding
ENSG00000150337	149754227	149764074	1	FCGR1A	protein_coding
ENSG00000133048	203148059	203155877	1	CHI3L1	protein_coding
ENSG00000117394	43391052	43424530	1	SLC2A1	protein_coding
ENSG00000203814	149754245	149783928	1	HIST2H2BF	protein_coding
ENSG00000183598	149784826	149785236	1	HIST2H3D	protein_coding
ENSG00000131238	40538379	40563375	1	PPT1	protein_coding
ENSG00000183941	149804221	149811339	1	HIST2H4A	protein_coding
ENSG00000133063	203181955	203242769	1	CHIT1	protein_coding
ENSG00000203811	149811110	149812765	1	HIST2H3C	protein_coding
ENSG00000183558	149813505	149814478	1	HIST2H2AA3	protein_coding
ENSG00000090686	22004791	22110099	1	USP48	protein_coding
ENSG00000203812	149822643	149823191	1	HIST2H2AA4	protein_coding
ENSG00000186973	43610824	43622067	1	FAM183A	protein_coding
ENSG00000203852	149824181	149825836	1	HIST2H3A	protein_coding
ENSG00000171872	44584522	44600812	1	KLF17	protein_coding
ENSG00000182217	149825607	149832714	1	HIST2H4B	protein_coding
ENSG00000117395	43629846	43736607	1	EBNA1BP2	protein_coding
ENSG00000184678	149856010	149858232	1	HIST2H2BE	protein_coding
ENSG00000159388	203274619	203278730	1	BTG2	protein_coding
ENSG00000132780	46049518	46084566	1	NASP	protein_coding
ENSG00000184260	149858525	149858961	1	HIST2H2AC	protein_coding
ENSG00000178028	44679127	44686353	1	DMAP1	protein_coding
ENSG00000184270	149859019	149859466	1	HIST2H2AB	protein_coding
ENSG00000122176	203309756	203320617	1	FMOD	protein_coding
ENSG00000178096	149859440	149872351	1	BOLA1	protein_coding
ENSG00000188783	203444956	203460480	1	PRELP	protein_coding
ENSG00000117000	40627045	40706593	1	RLF	protein_coding
ENSG00000188770	203463271	203477992	1	OPTC	protein_coding
ENSG00000159164	149874870	149889434	1	SV2A	protein_coding
ENSG00000188800	40711619	40717363	1	TMCO2	protein_coding
ENSG00000243710	43637820	43720029	1	WDR65	protein_coding
ENSG00000084073	40723779	40759856	1	ZMPSTE24	protein_coding
ENSG00000058668	203595689	203713209	1	ATP2B4	protein_coding
ENSG00000143368	149895209	149900236	1	SF3B4	protein_coding
ENSG00000049089	40766159	40783488	1	COL9A2	protein_coding
ENSG00000122188	203734304	203745361	1	LAX1	protein_coding
ENSG00000179178	43735665	43739673	1	TMEM125	protein_coding
ENSG00000117419	44686742	44820932	1	ERI3	protein_coding
ENSG00000058673	203764782	203823252	1	ZC3H11A	protein_coding
ENSG00000253313	43747554	43751288	1	C1orf210	protein_coding
ENSG00000187942	22138758	22151714	1	LDLRAD2	protein_coding
